userid,amount,usercurrencyamount,usercurrencycode,provider,countrycode,market,coins
049d2b63-a415-4a72-a9de-ce4ab621945d,2.53,2.01,chf,paypal,ch,gb,332
c14dfe23-2763-4ed4-8970-ef9da9d294ad,1.28,1.1,chf,paypal,ch,gb,7988
b6779fec-96f6-4386-a60c-70b64a3b40e6,2.6,2.34,eur,paypal,at,gb,538
ffb941d3-6ea6-4635-afe9-49d7af1349a9,3.83,5.66,aud,paypal,nz,au,1685
be50b2d4-4782-4258-a4fa-ecf38a100219,1.24,12.83,nok,paypal,no,gb,1516
7f6cb187-5e4e-4bb5-982c-81b08d767155,4.56,3.83,chf,paypal,ch,gb,1632
7592516f-c9a1-4c7c-abc2-9b27345a9aff,0.56,3.84,dkk,paypal,dk,gb,36
53ce65e6-4950-4c15-aea1-8f137027d398,0.7,0.64,eur,paypal,be,gb,972
34e3a6a6-699d-46c1-951e-ff46da269083,2.48,2.03,chf,paypal,ch,gb,1176
78624dc0-b989-4383-b3ce-2424e83e3e95,2.89,4.19,aud,paypal,nz,au,28500
29696a6f-3325-4ec7-a78c-cf6aaf0cd3e7,0.2,2.02,nok,paypal,no,gb,13773
0857e3a0-b4cc-43f2-a0e0-32746af46fcb,0.36,0.26,eur,paypal,be,gb,275
d34cfcaf-f37e-48d1-a0a8-ea6d31dc27b4,2.54,26.57,nok,paypal,no,gb,192
77957e5f-144f-4c5b-8a34-1dedc4bdbdc2,0.23,0.21,eur,paypal,at,gb,1375
91ace08d-8897-4bed-827a-1adb57380012,0.36,0.52,aud,paypal,nz,au,1260
b70d5b61-7cb6-4f2f-97cd-2f0a60e814a8,1.17,1.05,eur,paypal,be,gb,300
edeae47a-1fd2-4980-81ad-32f3c867aa7c,0.5,0.74,aud,paypal,nz,au,251
7fc7197b-681f-496d-bf83-7d0c81765fc8,1.42,9.7,dkk,paypal,dk,gb,460
91c360ca-cc32-433a-a6c1-585edbdbaea3,0.76,0.69,eur,paypal,be,gb,4
e24c09a9-d156-42f0-bfe1-9da7fd2d2979,0.24,0.36,aud,paypal,nz,au,207
a9076a1f-dc01-4d7f-b7b0-6362f3f55e53,2.34,2.0,eur,paypal,ie,gb,1647
f56d8c82-1e25-4155-b589-2940a78376f2,1.58,1.41,eur,amazon,at,gb,1881
1378121a-d770-49f8-883e-ea917b1132e8,2.31,2.01,eur,paypal,ie,gb,18016
07a224b6-87ab-4cd1-b8b3-8bb9ef02e844,2.11,14.29,dkk,paypal,dk,gb,5984
ef2bf3ec-d802-4d62-bec1-df0a5323911c,0.25,0.23,eur,paypal,be,gb,1409
a8e8a256-a96e-4189-bd20-fa63f30e4cbf,1.67,1.52,eur,paypal,at,gb,8610
2c931b9b-0208-4e78-9a47-35a1aefcef1f,2.13,3.16,aud,paypal,nz,au,1100
0161d8ad-113c-4920-8a2a-ff1c90616cf7,1.03,10.46,nok,paypal,no,gb,280
0991e249-0b45-4ada-93e6-4974369e98da,0.42,0.39,eur,paypal,be,gb,420
fc2ea63f-e434-4187-ba0a-69699c7a1c04,0.67,0.61,eur,amazon,at,gb,7042
b8e51790-1cd8-4274-8da3-4768317f330a,6.74,5.34,chf,paypal,ch,gb,11798
